MONTH,DIE_CLASS_CODE,WAFER_ID,PRIORITY,ROUTING CODE,OWNER,5G,MODULE,GPDW
May-21,2SQ6-1701,N9872-1181,Normal,PROBE-PSAW NPAD.2 (THIN),TEOH HUI CHIANG,NO,CHDR,65714
May-21,2SQ6-1701,N9872-1184,Normal,PROBE-PSAW NPAD.2 (THIN),TEOH HUI CHIANG,NO,CHDR,65714
May-21,2SQ6-1701,N9872-1189,Normal,PROBE-PSAW NPAD.2 (THIN),TEOH HUI CHIANG,NO,CHDR,65714
May-21,2SQ6-1701,N9872-1191,Normal,PROBE-PSAW NPAD.2 (THIN),TEOH HUI CHIANG,NO,CHDR,65714
May-21,2SQ6-1701,N9872-1269,Normal,PROBE-PSAW NPAD.2 (THIN),TEOH HUI CHIANG,NO,CHDR,65714
May-21,2SQ6-1701,N9872-1273,Normal,PROBE-PSAW NPAD.2 (THIN),TEOH HUI CHIANG,NO,CHDR,65714
May-21,2SQ6-1701,N9872-1283,Normal,PROBE-PSAW NPAD.2 (THIN),TEOH HUI CHIANG,NO,CHDR,65714
May-21,2SQ6-1701,N9872-1305,Normal,PROBE-PSAW NPAD.2 (THIN),TEOH HUI CHIANG,NO,CHDR,65714
May-21,2SQ6-1701,N9872-1311,Normal,PROBE-PSAW NPAD.2 (THIN),TEOH HUI CHIANG,NO,CHDR,65714
May-21,2SQ6-1701,N9872-1317,Normal,PROBE-PSAW NPAD.2 (THIN),TEOH HUI CHIANG,NO,CHDR,65714
May-21,2SQ6-1701,N9872-1319,Normal,PROBE-PSAW NPAD.2 (THIN),TEOH HUI CHIANG,NO,CHDR,65714
May-21,2SQ6-1701,N9872-1321,Normal,PROBE-PSAW NPAD.2 (THIN),TEOH HUI CHIANG,NO,CHDR,65714
May-21,2SQ6-1701,N9872-1356,Normal,PROBE-PSAW NPAD.2 (THIN),TEOH HUI CHIANG,NO,CHDR,65714
May-21,2ST5-1701,N9082-P053,Normal,PSAW-PROBE (THIN),Rajamannan,YES,Winterbourne,66885
May-21,2ST5-1701,N9082-P054,Normal,PSAW-PROBE (THIN),Rajamannan,YES,Winterbourne,66885
May-21,2ST5-1701,N9082-P068,Normal,PSAW-PROBE (THIN),Rajamannan,YES,Winterbourne,66885
May-21,2ST5-1701,N9082-P077,Normal,PSAW-PROBE (THIN),Rajamannan,YES,Winterbourne,66885
May-21,2SS5-1701,N0268-8015,Normal,PSAW-PROBE (THIN),CHEONG YIH CHING,YES,Carlton,53244
May-21,2SS5-1701,N0268-8017,Normal,PSAW-PROBE (THIN),CHEONG YIH CHING,YES,Carlton,53244
May-21,2SS5-1701,N0268-8018,Normal,PSAW-PROBE (THIN),CHEONG YIH CHING,YES,Carlton,53244
May-21,2SS5-1701,N0268-8141,Normal,PSAW-PROBE (THIN),CHEONG YIH CHING,YES,Carlton,53244
May-21,2SS5-1701,N0268-8142,Normal,PSAW-PROBE (THIN),CHEONG YIH CHING,YES,Carlton,53244
May-21,2SS5-1701,N0268-8143,Normal,PSAW-PROBE (THIN),CHEONG YIH CHING,YES,Carlton,53244
May-21,2SS5-1701,N0268-8144,Normal,PSAW-PROBE (THIN),CHEONG YIH CHING,YES,Carlton,53244
